   125→    "sec.ops": "Operations", "sec.infra": "Infrastructure",
   126→    "nav.dashboard": "Dashboard", "nav.analytics": "Analytics", "nav.risk": "Risk Center",
   127→    "nav.payments": "Payments", "nav.wallets": "Wallets", "nav.fx": "FX", "nav.treasury": "Treasury",
   128→    "nav.stores": "Stores", "nav.products": "Products", "nav.customers": "Customers",
   129→    "nav.subscriptions": "Subscriptions", "nav.paymentLinks": "Payment Links", "nav.invoices": "Invoices",
   130→    "nav.apiKeys": "API Keys", "nav.webhooks": "Webhooks", "nav.settings": "Settings", "nav.support": "Support",
   131→    "nav.adminDashboard": "Overview", "nav.adminMerchants": "Merchants", "nav.adminKyc": "KYC Queue",
   132→    "nav.adminTreasury": "Treasury", "nav.adminRevenue": "Revenue", "nav.adminGateways": "Gateways",
   133→    "nav.adminRisk": "Risk", "nav.adminAnalytics": "Platform Analytics", "nav.adminSupport": "Support",
   134→    "nav.adminHealth": "System Health", "nav.adminWorkers": "Workers", "nav.adminQueues": "Queues",
   135→    "nav.adminLogs": "Logs", "nav.adminFlags": "Feature Flags", "nav.adminCompliance": "Compliance",
   136→    "shell.workspace": "Merchant workspace", "shell.liveMode": "Live mode",
   137→    "shell.liveModeDesc": "You are operating in Live mode.", "shell.profile": "Profile", "shell.billing": "Billing",
   138→    "shell.security": "Security", "shell.signout": "Sign out", "shell.signedOut": "Signed out",
   139→    "shell.notifications": "Notifications", "shell.markAllRead": "Mark all as read",
   140→    "cmd.placeholder": "Search pages, actions…", "cmd.quickActions": "Quick actions",
   141→    "cmd.exportPayments": "Export payments (CSV)", "cmd.createLink": "Create payment link",
   142→  },
   143→  "pt-BR": {
   144→    "common.signin": "Entrar", "common.signup": "Começar a construir", "common.bookDemo": "Agendar demonstração",
   145→    "common.search": "Buscar pagamentos, clientes…", "common.live": "Ao vivo", "common.export": "Exportar",
   146→    "common.exportCsv": "Exportar CSV", "common.exportExcel": "Exportar Excel", "common.create": "Criar",
   147→    "common.save": "Salvar", "common.cancel": "Cancelar", "common.delete": "Excluir", "common.copy": "Copiar",
   148→    "common.copied": "Copiado", "common.viewAll": "Ver tudo", "common.loading": "Carregando…",
   149→    "common.newPayment": "Novo pagamento",
   150→    "nav.product": "Produto", "nav.pricing": "Preços", "nav.developers": "Desenvolvedores",
   151→    "nav.enterprise": "Empresa", "nav.docs": "Documentação", "nav.toggleMenu": "Abrir menu",
